# LF_DEM version v3.0-126-gb72fb1a
# np 1000
# VF 0.76
# Lx 73.993
# Ly 0
# Lz 73.993
# flow_type shear
# data in cl units.
#1: time
#2: cumulated strain
#3: shear rate
#4-9: total stress tensor (xx, xy, xz, yz, yy, zz)
#10-15: contact stress tensor (xx, xy, xz, yz, yy, zz)
#16-21: dashpot stress tensor (xx, xy, xz, yz, yy, zz)
#22-27: hydro stress tensor (xx, xy, xz, yz, yy, zz)
#28-33: repulsion stress tensor (xx, xy, xz, yz, yy, zz)

5.37212 0.179984 0.015533 -54.858 0 20 0 0 -56.6204  -54.8652 0 19.8601 0 0 -56.6347  -0.00742815 0 0.027295 0 0 -0.00709125  0.0146566 0 0.112648 0 0 0.0213015  0 0 0 0 0 0  
5.46637 0.181438 0.0149929 -54.1521 0 20 0 0 -57.1934  -54.1573 0 19.8676 0 0 -57.2061  -0.00778604 0 0.0251917 0 0 -0.0066685  0.0130094 0 0.10725 0 0 0.0194054  0 0 0 0 0 0  
5.56062 0.182862 0.0150029 -53.7858 0 20 0 0 -57.6186  -53.7869 0 19.8659 0 0 -57.6265  -0.00866936 0 0.0258274 0 0 -0.00847661  0.0097405 0 0.108226 0 0 0.0163246  0 0 0 0 0 0  
5.65487 0.184266 0.015011 -53.475 0 20 0 0 -57.9704  -53.4782 0 19.8678 0 0 -57.9814  -0.00947701 0 0.0254228 0 0 -0.00996002  0.0127096 0 0.106797 0 0 0.0209741  0 0 0 0 0 0  
5.74911 0.185632 0.014148 -53.0803 0 20 0 0 -58.1645  -53.082 0 19.8794 0 0 -58.177  -0.00986423 0 0.023591 0 0 -0.00982974  0.0116379 0 0.0969874 0 0 0.0222589  0 0 0 0 0 0  
5.84336 0.187012 0.0150279 -52.5509 0 20 0 0 -58.6064  -52.5572 0 19.8692 0 0 -58.6222  -0.0103806 0 0.0252839 0 0 -0.010505  0.0166777 0 0.105493 0 0 0.0263138  0 0 0 0 0 0  
5.93761 0.188378 0.0147518 -52.4258 0 20 0 0 -59.1276  -52.4349 0 19.8722 0 0 -59.1486  -0.00953818 0 0.0245092 0 0 -0.00806445  0.0186306 0 0.103298 0 0 0.0291121  0 0 0 0 0 0  
6.03186 0.189696 0.0133706 -52.4788 0 20 0 0 -59.6623  -52.4887 0 19.8834 0 0 -59.6823  -0.00950349 0 0.0221779 0 0 -0.00796319  0.0193964 0 0.0943907 0 0 0.027995  0 0 0 0 0 0  
6.12611 0.190907 0.0123967 -52.4821 0 20 0 0 -60.1124  -52.4884 0 19.8917 0 0 -60.1279  -0.00908663 0 0.0206568 0 0 -0.0067998  0.0154282 0 0.087615 0 0 0.022277  0 0 0 0 0 0  
6.22035 0.192122 0.0130169 -52.3735 0 20 0 0 -60.3527  -52.3798 0 19.8883 0 0 -60.3716  -0.00950681 0 0.0209348 0 0 -0.00671962  0.0158036 0 0.0907973 0 0 0.0256296  0 0 0 0 0 0  
6.3146 0.193329 0.0121947 -52.6223 0 20 0 0 -60.3658  -52.6306 0 19.8948 0 0 -60.3862  -0.00895777 0 0.0189236 0 0 -0.00676457  0.0172341 0 0.0862641 0 0 0.027146  0 0 0 0 0 0  
6.40885 0.194419 0.0111842 -52.485 0 20 0 0 -60.182  -52.4922 0 19.904 0 0 -60.2002  -0.00825496 0 0.0167906 0 0 -0.00506204  0.0153849 0 0.0791824 0 0 0.0232562  0 0 0 0 0 0  
6.5031 0.195562 0.0120939 -52.2827 0 20 0 0 -60.0952  -52.2902 0 19.8961 0 0 -60.1117  -0.00840602 0 0.0179051 0 0 -0.00555847  0.0158974 0 0.0859772 0 0 0.02205  0 0 0 0 0 0  
6.59734 0.196742 0.0129446 -52.2158 0 20 0 0 -59.7554  -52.2255 0 19.8906 0 0 -59.7738  -0.00892797 0 0.018315 0 0 -0.00555872  0.0185797 0 0.0911166 0 0 0.0240036  0 0 0 0 0 0  
6.69159 0.197998 0.0132524 -52.1247 0 20 0 0 -59.7553  -52.1363 0 19.8896 0 0 -59.7725  -0.0075538 0 0.0182817 0 0 -0.00613972  0.0191294 0 0.0920903 0 0 0.0233296  0 0 0 0 0 0  
6.78584 0.199302 0.0139348 -52.1728 0 20 0 0 -59.7518  -52.1876 0 19.8863 0 0 -59.7724  -0.00809338 0 0.0195405 0 0 -0.00734888  0.0229264 0 0.0941914 0 0 0.0278539  0 0 0 0 0 0  
